name,sn,uhv,ulv,fn,vg,vsc,psc,i0,p0,manufacturer,range,efficiency,cooling,insulation,material,oil,phases,du1,du0.8,eff1 100%,eff0.8 100%,eff1 75%,eff0.8 75%,notes
SE Minera C0Bk 800kVA 15/20kV(20) 410V Dyn11,800000,20000,410,50,Dyn11,0.06,7000,0.011,930,Schneider Electric,Minera,C0Bk,ONAN,liquid-immersed,,mineral,three-phase,1.05,4.35,99.02,98.78,99.2,99.0,"±2,5% ±5%"
SE Minera C0Bk 1000kVA 15/20kV(20) 410V Dyn11,1000000,20000,410,50,Dyn11,0.06,9000,0.01,1100,Schneider Electric,Minera,C0Bk,ONAN,liquid-immersed,,mineral,three-phase,1.08,4.37,99.0,98.75,99.19,98.98,"±2,5% ±5%"
SE Minera C0Bk 1250kVA 15/20kV(20) 410V Dyn11,1250000,20000,410,50,Dyn11,0.06,11000,0.01,1350,Schneider Electric,Minera,C0Bk,ONAN,liquid-immersed,,mineral,three-phase,1.06,4.35,99.02,98.78,99.2,99.0,"±2,5% ±5%"
SE Minera C0Bk 1600kVA 15/20kV(20) 410V Dyn11,1600000,20000,410,50,Dyn11,0.06,14000,0.01,1700,Schneider Electric,Minera,C0Bk,ONAN,liquid-immersed,,mineral,three-phase,1.05,4.35,99.03,98.79,99.21,99.01,"±2,5% ±5%"
SE Minera C0Bk 2000kVA 15/20kV(20) 410V Dyn11,2000000,20000,410,50,Dyn11,0.06,18000,0.01,2100,Schneider Electric,Minera,C0Bk,ONAN,liquid-immersed,,mineral,three-phase,1.08,4.37,99.0,98.76,99.19,98.99,"±2,5% ±5%"
SE Minera C0Bk 2500kVA 15/20kV(20) 410V Dyn11,2500000,20000,410,50,Dyn11,0.06,22000,0.01,2500,Schneider Electric,Minera,C0Bk,ONAN,liquid-immersed,,mineral,three-phase,1.06,4.35,99.03,98.76,99.21,99.02,"±2,5% ±5%"
SE Minera C0Bk 50kVA 15/20kV(15) 410V Yzn11,50000,15000,410,50,Yzn11,0.04,875,0.015,125,Schneider Electric,Minera,C0Bk,ONAN,liquid-immersed,,mineral,three-phase,1.81,3.57,98.04,97.56,98.38,97.98,"±2,5% ±5%"
SE Minera C0Bk 100kVA 15/20kV(15) 410V Dyn11,100000,15000,410,50,Dyn11,0.04,1475,0.015,210,Schneider Electric,Minera,C0Bk,ONAN,liquid-immersed,,mineral,three-phase,1.54,3.43,98.34,97.94,98.63,98.3,"±2,5% ±5%"
SE Minera C0Bk 160kVA 15/20kV(15) 410V Dyn11,160000,15000,410,50,Dyn11,0.04,2000,0.014,300,Schneider Electric,Minera,C0Bk,ONAN,liquid-immersed,,mineral,three-phase,1.32,3.31,98.58,98.23,98.83,98.54,"±2,5% ±5%"
SE Minera C0Bk 250kVA 15/20kV(15) 410V Dyn11,250000,15000,410,50,Dyn11,0.04,2750,0.013,425,Schneider Electric,Minera,C0Bk,ONAN,liquid-immersed,,mineral,three-phase,1.17,3.22,98.75,98.44,98.96,98.7,"±2,5% ±5%"
SE Minera C0Bk 315kVA 15/20kV(15) 410V Dyn11,315000,15000,410,50,Dyn11,0.04,3250,0.013,520,Schneider Electric,Minera,C0Bk,ONAN,liquid-immersed,,mineral,three-phase,1.11,3.17,98.82,98.53,99.02,98.77,"±2,5% ±5%"
SE Minera C0Bk 400kVA 15/20kV(15) 410V Dyn11,400000,15000,410,50,Dyn11,0.04,3850,0.012,610,Schneider Electric,Minera,C0Bk,ONAN,liquid-immersed,,mineral,three-phase,1.04,3.13,98.9,98.63,99.08,98.86,"±2,5% ±5%"
SE Minera C0Bk 500kVA 15/20kV(15) 410V Dyn11,500000,15000,410,50,Dyn11,0.04,4600,0.012,720,Schneider Electric,Minera,C0Bk,ONAN,liquid-immersed,,mineral,three-phase,1.0,3.1,98.95,98.69,99.13,98.91,"±2,5% ±5%"
SE Minera C0Bk 630kVA 15/20kV(15) 410V Dyn11,630000,15000,410,50,Dyn11,0.04,5400,0.011,860,Schneider Electric,Minera,C0Bk,ONAN,liquid-immersed,,mineral,three-phase,0.93,3.06,99.02,98.77,99.18,98.98,"±2,5% ±5%"
SE Minera C0Bk 800kVA 15/20kV(15) 410V Dyn11,800000,15000,410,50,Dyn11,0.06,7000,0.011,930,Schneider Electric,Minera,C0Bk,ONAN,liquid-immersed,,mineral,three-phase,1.05,4.35,99.02,98.78,99.2,99.0,"±2,5% ±5%"
SE Minera C0Bk 1000kVA 15/20kV(15) 410V Dyn11,1000000,15000,410,50,Dyn11,0.06,9000,0.01,1100,Schneider Electric,Minera,C0Bk,ONAN,liquid-immersed,,mineral,three-phase,1.08,4.37,99.0,98.75,99.19,98.98,"±2,5% ±5%"
SE Minera C0Bk 1250kVA 15/20kV(15) 410V Dyn11,1250000,15000,410,50,Dyn11,0.06,11000,0.01,1350,Schneider Electric,Minera,C0Bk,ONAN,liquid-immersed,,mineral,three-phase,1.06,4.35,99.02,98.78,99.2,99.0,"±2,5% ±5%"
SE Minera C0Bk 1600kVA 15/20kV(15) 410V Dyn11,1600000,15000,410,50,Dyn11,0.06,14000,0.01,1700,Schneider Electric,Minera,C0Bk,ONAN,liquid-immersed,,mineral,three-phase,1.05,4.35,99.03,98.79,99.21,99.01,"±2,5% ±5%"
SE Minera C0Bk 2000kVA 15/20kV(15) 410V Dyn11,2000000,15000,410,50,Dyn11,0.06,18000,0.01,2100,Schneider Electric,Minera,C0Bk,ONAN,liquid-immersed,,mineral,three-phase,1.08,4.37,99.0,98.76,99.19,98.99,"±2,5% ±5%"
SE Minera C0Bk 2500kVA 15/20kV(15) 410V Dyn11,2500000,15000,410,50,Dyn11,0.06,22000,0.01,2500,Schneider Electric,Minera,C0Bk,ONAN,liquid-immersed,,mineral,three-phase,1.06,4.35,99.03,98.76,99.21,99.02,"±2,5% ±5%"
SE Minera Standard 50kVA 15/20kV(20) 410V Yzn11,50000,20000,410,50,Yzn11,0.04,1350,0.01,125,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,2.74,3.93,97.13,96.44,97.7,97.14,"±2,5% ±5%"
SE Minera Standard 100kVA 15/20kV(20) 410V Dyn11,100000,20000,410,50,Dyn11,0.04,2150,0.01,210,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,2.21,3.75,97.69,97.13,98.14,97.69,"±2,5% ±5%"
SE Minera Standard 160kVA 15/20kV(20) 410V Dyn11,160000,20000,410,50,Dyn11,0.04,3100,0.015,375,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,2.0,3.66,97.87,97.36,98.27,97.84,"±2,5% ±5%"
SE Minera Standard 250kVA 15/20kV(20) 410V Dyn11,250000,20000,410,50,Dyn11,0.04,3250,0.026,650,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,1.37,3.33,98.46,98.09,98.7,98.37,"±2,5% ±5%"
SE Minera Standard 315kVA 15/20kV(20) 410V Dyn11,315000,20000,410,50,Dyn11,0.04,3900,0.025,770,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,1.31,3.3,98.54,98.18,98.76,98.46,"±2,5% ±5%"
SE Minera Standard 400kVA 15/20kV(20) 410V Dyn11,400000,20000,410,50,Dyn11,0.04,4600,0.023,930,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,1.22,3.25,98.64,98.3,98.84,98.56,"±2,5% ±5%"
SE Minera Standard 500kVA 15/20kV(20) 410V Dyn11,500000,20000,410,50,Dyn11,0.04,5500,0.022,1100,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,1.17,3.22,98.7,98.38,98.89,98.62,"±2,5% ±5%"
SE Minera Standard 630kVA 15/20kV(20) 410V Dyn11,630000,20000,410,50,Dyn11,0.04,6500,0.02,1300,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,1.11,3.17,98.78,98.48,98.96,98.71,"±2,5% ±5%"
SE Minera Standard 800kVA 15/20kV(20) 410V Dyn11,800000,20000,410,50,Dyn11,0.06,10500,0.016,1150,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,1.48,4.64,98.56,98.21,98.84,98.55,"±2,5% ±5%"
SE Minera Standard 1000kVA 15/20kV(20) 410V Dyn11,1000000,20000,410,50,Dyn11,0.06,13000,0.015,1400,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,1.47,4.63,98.58,98.23,98.85,98.57,"±2,5% ±5%"
SE Minera Standard 1250kVA 15/20kV(20) 410V Dyn11,1250000,20000,410,50,Dyn11,0.06,16000,0.013,1750,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,1.45,4.62,98.6,98.26,98.87,98.59,"±2,5% ±5%"
SE Minera Standard 1600kVA 15/20kV(20) 410V Dyn11,1600000,20000,410,50,Dyn11,0.06,20000,0.011,2200,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,1.42,4.6,98.63,98.3,98.89,98.62,"±2,5% ±5%"
SE Minera Standard 2000kVA 15/20kV(20) 410V Dyn11,2000000,20000,410,50,Dyn11,0.06,26000,0.011,2700,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,1.47,4.63,98.59,98.24,98.86,98.58,"±2,5% ±5%"
SE Minera Standard 2500kVA 15/20kV(20) 410V Dyn11,2500000,20000,410,50,Dyn11,0.06,32000,0.01,3200,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,1.45,4.62,98.61,98.27,98.88,98.61,"±2,5% ±5%"
SE Minera Standard 50kVA 15/20kV(15) 410V Yzn11,50000,15000,410,50,Yzn11,0.04,1350,0.01,125,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,2.74,3.93,97.13,96.44,97.7,97.14,"±2,5% ±5%"
SE Minera Standard 100kVA 15/20kV(15) 410V Dyn11,100000,15000,410,50,Dyn11,0.04,2150,0.01,210,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,2.21,3.75,97.69,97.13,98.14,97.69,"±2,5% ±5%"
SE Minera Standard 160kVA 15/20kV(15) 410V Dyn11,160000,15000,410,50,Dyn11,0.04,3100,0.015,375,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,2.0,3.66,97.87,97.36,98.27,97.84,"±2,5% ±5%"
SE Minera Standard 250kVA 15/20kV(15) 410V Dyn11,250000,15000,410,50,Dyn11,0.04,3250,0.026,650,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,1.37,3.33,98.46,98.09,98.7,98.37,"±2,5% ±5%"
SE Minera Standard 315kVA 15/20kV(15) 410V Dyn11,315000,15000,410,50,Dyn11,0.04,3900,0.025,770,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,1.31,3.3,98.54,98.18,98.76,98.46,"±2,5% ±5%"
SE Minera Standard 400kVA 15/20kV(15) 410V Dyn11,400000,15000,410,50,Dyn11,0.04,4600,0.023,930,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,1.22,3.25,98.64,98.3,98.84,98.56,"±2,5% ±5%"
SE Minera Standard 500kVA 15/20kV(15) 410V Dyn11,500000,15000,410,50,Dyn11,0.04,5500,0.022,1100,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,1.17,3.22,98.7,98.38,98.89,98.62,"±2,5% ±5%"
SE Minera Standard 630kVA 15/20kV(15) 410V Dyn11,630000,15000,410,50,Dyn11,0.04,6500,0.02,1300,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,1.11,3.17,98.78,98.48,98.96,98.71,"±2,5% ±5%"
SE Minera Standard 800kVA 15/20kV(15) 410V Dyn11,800000,15000,410,50,Dyn11,0.06,10500,0.016,1150,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,1.48,4.64,98.56,98.21,98.84,98.55,"±2,5% ±5%"
SE Minera Standard 1000kVA 15/20kV(15) 410V Dyn11,1000000,15000,410,50,Dyn11,0.06,13000,0.015,1400,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,1.47,4.63,98.58,98.23,98.85,98.57,"±2,5% ±5%"
SE Minera Standard 1250kVA 15/20kV(15) 410V Dyn11,1250000,15000,410,50,Dyn11,0.06,16000,0.013,1750,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,1.45,4.62,98.6,98.26,98.87,98.59,"±2,5% ±5%"
SE Minera Standard 1600kVA 15/20kV(15) 410V Dyn11,1600000,15000,410,50,Dyn11,0.06,20000,0.011,2200,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,1.42,4.6,98.63,98.3,98.89,98.62,"±2,5% ±5%"
SE Minera Standard 2000kVA 15/20kV(15) 410V Dyn11,2000000,15000,410,50,Dyn11,0.06,26000,0.011,2700,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,1.47,4.63,98.59,98.24,98.86,98.58,"±2,5% ±5%"
SE Minera Standard 2500kVA 15/20kV(15) 410V Dyn11,2500000,15000,410,50,Dyn11,0.06,32000,0.01,3200,Schneider Electric,Minera,Standard,ONAN,liquid-immersed,,mineral,three-phase,1.45,4.62,98.61,98.27,98.88,98.61,"±2,5% ±5%"
SE Trihal AA0Ak 250kVA 15/20kV(20) 410V Dyn11,250000,20000,410,50,Dyn11,0.06,3740,0.48,538,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,98.318,97.906,98.611,98.269,"±2,5% ±5%"
SE Trihal AA0Ak 400kVA 15/20kV(20) 410V Dyn11,400000,20000,410,50,Dyn11,0.06,4950,0.41,776,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,98.589,98.242,98.827,98.538,"±2,5% ±5%"
SE Trihal AA0Ak 630kVA 15/20kV(20) 410V Dyn11,630000,20000,410,50,Dyn11,0.06,7810,0.22,1138,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,98.6,98.256,98.843,98.558,"±2,5% ±5%"
SE Trihal AA0Ak 800kVA 15/20kV(20) 410V Dyn11,800000,20000,410,50,Dyn11,0.06,8800,0.18,1345,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,98.748,98.44,98.962,98.706,"±2,5% ±5%"
SE Trihal AA0Ak 1000kVA 15/20kV(20) 410V Dyn11,1000000,20000,410,50,Dyn11,0.06,9900,0.17,1604,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,98.863,98.582,99.053,98.819,"±2,5% ±5%"
SE Trihal AA0Ak 1250kVA 15/20kV(20) 410V Dyn11,1250000,20000,410,50,Dyn11,0.06,12100,0.16,1863,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,98.895,98.623,99.084,98.857,"±2,5% ±5%"
SE Trihal AA0Ak 1600kVA 15/20kV(20) 410V Dyn11,1600000,20000,410,50,Dyn11,0.06,14300,0.15,2277,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,98.975,98.721,99.147,98.936,"±2,5% ±5%"
SE Trihal AA0Ak 2000kVA 15/20kV(20) 410V Dyn11,2000000,20000,410,50,Dyn11,0.06,17600,0.28,2691,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,98.996,98.748,99.168,98.962,"±2,5% ±5%"
SE Trihal AA0Ak 2500kVA 15/20kV(20) 410V Dyn11,2500000,20000,410,50,Dyn11,0.06,20900,0.21,3208,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,99.045,98.809,99.208,99.012,"±2,5% ±5%"
SE Trihal AA0Ak 3150kVA 15/20kV(20) 410V Dyn11,3150000,20000,410,50,Dyn11,0.06,24200,0.3,3933,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,99.115,98.896,99.263,99.08,"±2,5% ±5%"
SE Trihal AA0Ak 250kVA 15/20kV(15) 410V Dyn11,250000,15000,410,50,Dyn11,0.06,3740,0.48,538,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,98.318,97.906,98.611,98.269,"±2,5%"
SE Trihal AA0Ak 400kVA 15/20kV(15) 410V Dyn11,400000,15000,410,50,Dyn11,0.06,4950,0.41,776,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,98.589,98.242,98.827,98.538,"±2,5%"
SE Trihal AA0Ak 630kVA 15/20kV(15) 410V Dyn11,630000,15000,410,50,Dyn11,0.06,7810,0.22,1138,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,98.6,98.256,98.843,98.558,"±2,5%"
SE Trihal AA0Ak 800kVA 15/20kV(15) 410V Dyn11,800000,15000,410,50,Dyn11,0.06,8800,0.18,1345,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,98.748,98.44,98.962,98.706,"±2,5%"
SE Trihal AA0Ak 1000kVA 15/20kV(15) 410V Dyn11,1000000,15000,410,50,Dyn11,0.06,9900,0.17,1604,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,98.863,98.582,99.053,98.819,"±2,5%"
SE Trihal AA0Ak 1250kVA 15/20kV(15) 410V Dyn11,1250000,15000,410,50,Dyn11,0.06,12100,0.16,1863,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,98.895,98.623,99.084,98.857,"±2,5%"
SE Trihal AA0Ak 1600kVA 15/20kV(15) 410V Dyn11,1600000,15000,410,50,Dyn11,0.06,14300,0.15,2277,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,98.975,98.721,99.147,98.936,"±2,5%"
SE Trihal AA0Ak 2000kVA 15/20kV(15) 410V Dyn11,2000000,15000,410,50,Dyn11,0.06,17600,0.28,2691,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,98.996,98.748,99.168,98.962,"±2,5%"
SE Trihal AA0Ak 2500kVA 15/20kV(15) 410V Dyn11,2500000,15000,410,50,Dyn11,0.06,20900,0.21,3208,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,99.045,98.809,99.208,99.012,"±2,5%"
SE Trihal AA0Ak 3150kVA 15/20kV(15) 410V Dyn11,3150000,15000,410,50,Dyn11,0.06,24200,0.3,3933,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,99.115,98.896,99.263,99.08,"±2,5%"
SE Trihal AA0Ak 250kVA 20kV 410V Dyn11,250000,20000,410,50,Dyn11,0.06,3400,0.48,468,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,98.476,98.103,98.746,98.438,"±2,5% ±5%"
SE Trihal AA0Ak 400kVA 20kV 410V Dyn11,400000,20000,410,50,Dyn11,0.06,4500,0.42,675,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,98.723,98.409,98.943,98.682,"±2,5% ±5%"
SE Trihal AA0Ak 630kVA 20kV 410V Dyn11,630000,20000,410,50,Dyn11,0.06,7100,0.37,990,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,98.732,98.42,98.956,98.699,"±2,5% ±5%"
SE Trihal AA0Ak 800kVA 20kV 410V Dyn11,800000,20000,410,50,Dyn11,0.06,8000,0.34,1170,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,98.867,98.587,99.064,98.833,"±2,5% ±5%"
SE Trihal AA0Ak 1000kVA 20kV 410V Dyn11,1000000,20000,410,50,Dyn11,0.06,9000,0.33,1395,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,98.971,98.717,99.146,98.935,"±2,5% ±5%"
SE Trihal AA0Ak 1250kVA 20kV 410V Dyn11,1250000,20000,410,50,Dyn11,0.06,11000,0.29,1620,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,99.0,98.754,99.174,98.97,"±2,5% ±5%"
SE Trihal AA0Ak 1600kVA 20kV 410V Dyn11,1600000,20000,410,50,Dyn11,0.06,13000,0.27,1980,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,99.072,98.843,99.232,99.041,"±2,5% ±5%"
SE Trihal AA0Ak 2000kVA 20kV 410V Dyn11,2000000,20000,410,50,Dyn11,0.06,16000,0.27,2340,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,99.091,98.867,99.25,99.064,"±2,5% ±5%"
SE Trihal AA0Ak 2500kVA 20kV 410V Dyn11,2500000,20000,410,50,Dyn11,0.06,19000,0.24,2790,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,99.136,98.922,99.286,99.11,"±2,5% ±5%"
SE Trihal AA0Ak 3150kVA 20kV 410V Dyn11,3150000,20000,410,50,Dyn11,0.06,22000,0.21,3420,Schneider Electric,Trihal,AA0Ak,AN,dry-type,,,three-phase,,,99.199,99.001,99.336,99.171,"±2,5% ±5%"
SE Trihal ExtraReducedLosses 160kVA 20kV 410V Dyn11,160000,20000,410,50,Dyn11,0.06,2340,0.023,400,Schneider Electric,Trihal,ExtraReducedLosses,AN,dry-type,,,three-phase,,,,,,,"±2,5%"
SE Trihal ExtraReducedLosses 250kVA 20kV 410V Dyn11,250000,20000,410,50,Dyn11,0.06,3060,0.02,520,Schneider Electric,Trihal,ExtraReducedLosses,AN,dry-type,,,three-phase,,,,,,,"±2,5%"
SE Trihal ExtraReducedLosses 400kVA 20kV 410V Dyn11,400000,20000,410,50,Dyn11,0.06,4050,0.015,750,Schneider Electric,Trihal,ExtraReducedLosses,AN,dry-type,,,three-phase,,,,,,,"±2,5%"
SE Trihal ExtraReducedLosses 630kVA 20kV 410V Dyn11,630000,20000,410,50,Dyn11,0.06,6390,0.013,1100,Schneider Electric,Trihal,ExtraReducedLosses,AN,dry-type,,,three-phase,,,,,,,"±2,5%"
