name,type,material,material_neutral,insulator,insulator_neutral,section,section_neutral,resistance,resistance_neutral,reactance,reactance_neutral,susceptance,susceptance_neutral,ampacity,ampacity_neutral
U_AL_75,underground,al,al,,,75,75,0.4184,0.4184,0.1066400577,0.1066400577,0.0000301495,0.0000301495,222,222
U_AL_79,underground,al,al,,,79,79,0.39872,0.39872,0.1057809122,0.1057809122,0.0000304371,0.0000304371,228,228
U_AL_80,underground,al,al,,,80,80,0.3938,0.3938,0.1055745142,0.1055745142,0.000030507,0.000030507,229,229
U_AL_90,underground,al,al,,,90,90,0.3446,0.3446,0.1036719918,0.1036719918,0.0000311668,0.0000311668,244,244
U_AL_93,underground,al,al,,,93,93,0.32984,0.32984,0.1031520348,0.1031520348,0.0000313521,0.0000313521,249,249
U_AL_95,underground,al,al,,,95,95,0.32,0.32,0.1028168921,0.1028168921,0.0000314727,0.0000314727,252,252
U_AL_100,underground,al,al,,,100,100,0.3066,0.3066,0.1020162744,0.1020162744,0.0000317647,0.0000317647,260,260
U_AL_116,underground,al,al,,,116,116,0.26372,0.26372,0.0997578116,0.0997578116,0.0000326182,0.0000326182,285,285
U_AL_117,underground,al,al,,,117,117,0.26104,0.26104,0.0996298374,0.0996298374,0.000032668,0.000032668,286,286
U_AL_120,underground,al,al,,,120,120,0.253,0.253,0.0992540572,0.0992540572,0.0000328149,0.0000328149,291,291
U_AL_147,underground,al,al,,,147,147,0.2107,0.2107,0.0963323591,0.0963323591,0.0000340041,0.0000340041,322,322
U_AL_148,underground,al,al,,,148,148,0.2091333333,0.2091333333,0.0962375209,0.0962375209,0.0000340441,0.0000340441,323,323
U_AL_150,underground,al,al,,,150,150,0.206,0.206,0.0960502777,0.0960502777,0.0000341234,0.0000341234,325,325
U_AL_228,underground,al,al,,,228,228,0.1335090909,0.1335090909,0.0905569282,0.0905569282,0.0000366279,0.0000366279,415,415
U_AL_240,underground,al,al,,,240,240,0.125,0.125,0.0899296465,0.0899296465,0.0000369374,0.0000369374,428,428
U_AL_288,underground,al,al,,,288,288,0.105,0.105,0.0877788677,0.0877788677,0.0000380397,0.0000380397,474,474
U_CU_19,underground,cu,cu,,,19,19,1.009,1.009,0.1330544178,0.1330544178,0.0000233629,0.0000233629,138,138
U_CU_20,underground,cu,cu,,,20,20,0.962,0.962,0.1319453158,0.1319453158,0.0000235859,0.0000235859,142,142
U_CU_22,underground,cu,cu,,,22,22,0.868,0.868,0.1299081697,0.1299081697,0.0000240066,0.0000240066,149,149
